"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","county","slug","landArea","density","rank","densityMi","areaMi"
2024,53031,33061,33858,"Washington","WA",0.024106953812649268,"Jefferson County","Jefferson County","washington/jefferson-county",1804,18.76829268292683,27,18.76829268292683,1804
2024,53049,23495,24305,"Washington","WA",0.03447542030219197,"Pacific County","Pacific County","washington/pacific-county",933,26.05037513397642,28,26.05037513397642,933
2024,53039,22814,23875,"Washington","WA",0.04650653107740865,"Klickitat County","Klickitat County","washington/klickitat-county",1872,12.753739316239317,29,12.753739316239317,1872
2024,53003,22324,22562,"Washington","WA",0.010661171833004746,"Asotin County","Asotin County","washington/asotin-county",636,35.4748427672956,30,35.4748427672956,636
2024,53001,20607,20742,"Washington","WA",0.006551171931867827,"Adams County","Adams County","washington/adams-county",1925,10.775064935064934,31,10.775064935064934,1925
2024,53055,17826,18460,"Washington","WA",0.03556602715135204,"San Juan County","San Juan County","washington/san-juan-county",174,106.0919540229885,32,106.0919540229885,174
2024,53051,13502,14584,"Washington","WA",0.08013627610724328,"Pend Oreille County","Pend Oreille County","washington/pend-oreille-county",1400,10.417142857142856,33,10.417142857142856,1400
2024,53059,12041,12825,"Washington","WA",0.0651108711901005,"Skamania County","Skamania County","washington/skamania-county",1658,7.735223160434258,34,7.735223160434258,1658
2024,53043,10928,11863,"Washington","WA",0.08556002928257689,"Lincoln County","Lincoln County","washington/lincoln-county",2311,5.133275638251839,35,5.133275638251839,2311
2024,53019,7198,7526,"Washington","WA",0.04556821339260897,"Ferry County","Ferry County","washington/ferry-county",2203,3.41625056740808,36,3.41625056740808,2203
2024,53069,4448,4842,"Washington","WA",0.08857913669064743,"Wahkiakum County","Wahkiakum County","washington/wahkiakum-county",263,18.4106463878327,37,18.4106463878327,263
2024,53013,3949,4080,"Washington","WA",0.03317295517852625,"Columbia County","Columbia County","washington/columbia-county",869,4.695051783659379,38,4.695051783659379,869
2024,53023,2294,2369,"Washington","WA",0.032693984306887636,"Garfield County","Garfield County","washington/garfield-county",711,3.3319268635724333,39,3.3319268635724333,711
